G,Name,U+,Style,Tags
,bishop,e00e,,
,bishop-1,e005,,
,bishop-11,e000,,
,bishop-12,e001,,
,bishop-13,e002,,
,bishop-14,e003,,
,bishop-15,e004,,
,bishop-2,e006,,
,bishop-3,e007,,
,bishop-4,e008,,
,bishop-5,e009,,
,bishop-6,e00a,,
,bishop-7,e00b,,
,bishop-8,e00c,,
,bishop-9,e00d,,
,chess-board,e012,,
,chess-board-1,e00f,,
,chess-board-2,e010,,
,chess-board-3,e011,,
,king,e022,,
,king-1,e018,,
,king-10,e013,,
,king-11,e014,,
,king-12,e015,,
,king-14,e016,,
,king-15,e017,,
,king-2,e019,,
,king-3,e01b,,
,king-13,e01a,,
,king-4,e01c,,
,king-5,e01d,,
,king-6,e01e,,
,king-7,e01f,,
,king-8,e020,,
,king-9,e021,,
,knight,e032,,
,knight-1,e029,,
,knight-10,e023,,
,knight-11,e024,,
,knight-12,e025,,
,knight-13,e026,,
,knight-14,e027,,
,knight-15,e028,,
,knight-2,e02a,,
,knight-3,e02b,,
,knight-4,e02c,,
,knight-5,e02d,,
,knight-6,e02e,,
,knight-7,e02f,,
,knight-8,e030,,
,knight-9,e031,,
,pawn,e042,,
,pawn-1,e039,,
,pawn-10,e033,,
,pawn-11,e034,,
,pawn-12,e035,,
,pawn-13,e036,,
,pawn-14,e037,,
,pawn-15,e038,,
,pawn-2,e03a,,
,pawn-3,e03b,,
,pawn-4,e03c,,
,pawn-5,e03d,,
,pawn-6,e03e,,
,pawn-7,e03f,,
,pawn-8,e040,,
,pawn-9,e041,,
,queen,e052,,
,queen-1,e049,,
,queen-10,e043,,
,queen-11,e044,,
,queen-12,e045,,
,queen-13,e046,,
,queen-14,e047,,
,queen-15,e048,,
,queen-2,e04a,,
,queen-3,e04b,,
,queen-4,e04c,,
,queen-5,e04d,,
,queen-6,e04e,,
,queen-7,e04f,,
,queen-8,e050,,
,queen-9,e051,,
,rook,e062,,
,rook-1,e059,,
,rook-10,e053,,
,rook-11,e054,,
,rook-12,e055,,
,rook-13,e056,,
,rook-14,e057,,
,rook-15,e058,,
,rook-2,e05a,,
,rook-3,e05b,,
,rook-4,e05c,,
,rook-5,e05d,,
,rook-6,e05e,,
,rook-7,e05f,,
,rook-8,e060,,
,rook-9,e061,,
